page_id,source_family,source_page_role,page_count,section_order,header_logo,school_identity,student_identity,examination_title,marks_columns_widths,skills_personality,total_percentage_grade_rank,attendance,remarks,chart,grade_legend,signatures,margins,typography,borders,vertical_density,colour_palette,monochrome,classification,calibration_required
SRC-I-03,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,compact occupied A4 marks and skills side by side
SRC-I-04,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,compact occupied A4 marks and skills side by side
SRC-I-05,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,compact occupied A4 marks and skills side by side
SRC-I-06,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,compact occupied A4 marks and skills side by side
SRC-II-01,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class II Session exact and refined approval direction
SRC-II-02,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class II Session exact and refined approval direction
SRC-II-03,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class II Session exact and refined approval direction
SRC-II-04,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class II Session exact and refined approval direction
SRC-II-05,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class II Session exact and refined approval direction
SRC-II-06,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class II Session exact and refined approval direction
SRC-III-01,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-III-02,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-III-03,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-III-04,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-III-05,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-III-06,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-IV-01,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-IV-02,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-IV-03,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-IV-04,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-IV-05,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-IV-06,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,separate Science and Social with compact skills
SRC-V-01,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class V Session exact and refined approval direction
SRC-V-02,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class V Session exact and refined approval direction
SRC-V-03,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class V Session exact and refined approval direction
SRC-V-04,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class V Session exact and refined approval direction
SRC-V-05,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class V Session exact and refined approval direction
SRC-V-06,Classes III-V,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,Class V Session exact and refined approval direction
SRC-VI-01,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VI-02,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VI-03,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VI-04,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VI-05,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VII-01,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VII-02,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VII-03,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VII-04,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VII-05,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VII-06,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VIII-01,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VIII-02,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VIII-03,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VIII-04,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VIII-05,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-VIII-06,Classes VI-VIII,grouped one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,English Social Science grouping and personality
SRC-IX-COMBINED-01,Classes IX-X,combined one-page,mismatch,wrong,material,material,material,material,material,wrong,n/a,material,material,material,material,material,material,material,material,material,material,material,WRONG_TEMPLATE_FAMILY,dense full-width combined table chart legend signatures
SRC-IX-COMBINED-02,Classes IX-X,combined one-page,mismatch,wrong,material,material,material,material,material,wrong,n/a,material,material,material,material,material,material,material,material,material,material,material,WRONG_TEMPLATE_FAMILY,dense full-width combined table chart legend signatures
SRC-IX-COMBINED-03,Classes IX-X,combined one-page,mismatch,wrong,material,material,material,material,material,wrong,n/a,material,material,material,material,material,material,material,material,material,material,material,WRONG_TEMPLATE_FAMILY,dense full-width combined table chart legend signatures
SRC-IX-COMBINED-04,Classes IX-X,combined one-page,mismatch,wrong,material,material,material,material,material,wrong,n/a,material,material,material,material,material,material,material,material,material,material,material,WRONG_TEMPLATE_FAMILY,dense full-width combined table chart legend signatures
SRC-IX-COMBINED-05,Classes IX-X,combined one-page,mismatch,wrong,material,material,material,material,material,wrong,n/a,material,material,material,material,material,material,material,material,material,material,material,WRONG_TEMPLATE_FAMILY,dense full-width combined table chart legend signatures
SRC-IX-COMBINED-06,Classes IX-X,combined one-page,mismatch,wrong,material,material,material,material,material,wrong,n/a,material,material,material,material,material,material,material,material,material,material,material,WRONG_TEMPLATE_FAMILY,dense full-width combined table chart legend signatures
SRC-X-01,Classes IX-X,CT revision one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,grouped subjects and personality on one A4
SRC-X-02,Classes IX-X,CT revision one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,grouped subjects and personality on one A4
SRC-X-03,Classes IX-X,CT revision one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,grouped subjects and personality on one A4
SRC-X-04,Classes IX-X,CT revision one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,grouped subjects and personality on one A4
SRC-X-05,Classes IX-X,CT revision one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,grouped subjects and personality on one A4
SRC-X-06,Classes IX-X,CT revision one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,grouped subjects and personality on one A4
SRC-X-07,Classes IX-X,CT revision one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,grouped subjects and personality on one A4
